SP_RX_RAll_A0	SP_RY_RAll_A0
505.13809	0
528.33868	0
535.59045	0
942.26062	0
971.85461	0
1931.1847	0
2062.6836	0
3485.5681	0
4704.2588	0
NAN	NAN
1065.3694	1
3776.3232	1
NAN	NAN
1916.2385	2
3191.3533	2
3213.4551	2
3262.9177	2
3274.8901	2
3285.7703	2
3301.2812	2
3560.5254	2
3845.186	2
3976.2424	2
NAN	NAN
4279.3467	3
NAN	NAN
930.93237	4
3758.9331	4
3808.9126	4
NAN	NAN
2042.8875	5
2200.2693	5
2216.2424	5
2231.5403	5
2244.9814	5
2255.3728	5
2265.7976	5
2283.9529	5
2292.4861	5
2300.8335	5
2308.1094	5
2316.3984	5
2333.0405	5
2344.5886	5
2354.1448	5
2362.4419	5
2371.0203	5
2381.2021	5
2392.0381	5
2405.9209	5
2422.3604	5
2455.7095	5
2475.8733	5
2500.0266	5
2596.1187	5
NAN	NAN
