SP_RX_RAll_A0	SP_RY_RAll_A0
218.8994	0
1473.06	0
2362.591	0
4555.298	0
4605.355	0
NAN	NAN
2557.511	1
NAN	NAN
1221.572	2
3039.45	2
3050.899	2
3313.736	2
3760.37	2
4462.734	2
4782.405	2
4828.211	2
NAN	NAN
306.311	3
1895.462	3
2226.889	3
3335.934	3
3473.393	3
4666.19	3
4683.081	3
4703.021	3
NAN	NAN
787.2762	4
817.0962	4
883.6174	4
1988.384	4
2009.141	4
2029.535	4
2491.94	4
NAN	NAN
150.5294	5
749.1537	5
972.1373	5
1344.518	5
2200.07	5
2223.572	5
2237.712	5
2246.389	5
2255.682	5
2264.543	5
2276.626	5
2289.416	5
2296.712	5
2304.798	5
2313.28	5
2324.807	5
2336.683	5
2348.89	5
2358.228	5
2368.905	5
2381.548	5
2398.353	5
2412.32	5
2422.073	5
2436.097	5
2456.804	5
2502.018	5
2518.509	5
2534.709	5
2554.597	5
4134.014	5
NAN	NAN
