SP_RX_RAll_A0	SP_RY_RAll_A0
NAN	0
NAN	NAN
1010.551	1
1060.098	1
NAN	NAN
1193.688	2
NAN	NAN
274.4906	3
790.695	3
1096.294	3
1304.69	3
NAN	NAN
1091.406	4
1162.493	4
NAN	NAN
771.5227	5
783.3708	5
NAN	NAN
NAN	6
NAN	NAN
855.7969	7
866.1599	7
970.1157	7
1036.302	7
NAN	NAN
NAN	8
NAN	NAN
923.8865	9
994.5775	9
1054.587	9
1098.497	9
NAN	NAN
NAN	10
NAN	NAN
1035.075	11
1139.583	11
NAN	NAN
1094.733	12
1110.579	12
1208.84	12
NAN	NAN
802.4668	13
886.2665	13
1002.359	13
NAN	NAN
1057.714	14
1086.092	14
NAN	NAN
878.4603	15
908.9742	15
951.2036	15
1002.934	15
1121.927	15
1142.86	15
NAN	NAN
NAN	16
NAN	NAN
1006.278	17
1045.48	17
1088.86	17
1113.573	17
1170.852	17
NAN	NAN
1029.472	18
1050.462	18
NAN	NAN
1070.498	19
1092.63	19
1117.045	19
1149.132	19
NAN	NAN
1164.612	20
NAN	NAN
954.6891	21
1055.89	21
1177.649	21
NAN	NAN
946.9719	22
997.9031	22
1036.853	22
1091.414	22
1158.94	22
1221.967	22
2386.756	22
NAN	NAN
849.3924	23
857.6244	23
867.4019	23
875.5151	23
896.1729	23
940.1857	23
955.6242	23
982.4167	23
1098.146	23
1122.63	23
NAN	NAN
2383.467	24
NAN	NAN
136.139	25
175.9325	25
871.5153	25
906.2798	25
955.8019	25
1003.984	25
1067.663	25
1255.461	25
NAN	NAN
1082.005	26
1285.857	26
NAN	NAN
622.3553	27
1029.05	27
1051.403	27
1071.119	27
1097.222	27
1144.346	27
1160.712	27
1194.804	27
1205.164	27
1234.68	27
1450.414	27
1717.622	27
2142.396	27
2424.183	27
NAN	NAN
856.4097	28
875.7203	28
1126.723	28
1151.458	28
1206.746	28
NAN	NAN
817.0668	29
968.2797	29
NAN	NAN
1102.831	30
NAN	NAN
858.6835	31
887.5125	31
899.0305	31
1114.545	31
1279.669	31
NAN	NAN
