SP_RX_RAll_A0	SP_RY_RAll_A0
471.1801	0
762.3817	0
1106.613	0
1123.772	0
1133.636	0
1190.63	0
1563.023	0
1585.534	0
1615.211	0
1719.954	0
1871.065	0
1882.958	0
2006.392	0
2019.53	0
2321.388	0
2345.488	0
2355.073	0
2401.609	0
2421.503	0
2429.174	0
2439.877	0
2454.08	0
2481.775	0
2518.252	0
2525.789	0
2541.218	0
2580.261	0
2589.069	0
2609.407	0
2682.205	0
2976.618	0
3020.555	0
3102.904	0
3481.388	0
3515.518	0
3563.737	0
3896.358	0
3979.719	0
3990.256	0
4022.883	0
4441.352	0
4677.436	0
NAN	NAN
350.0579	1
1014.107	1
1064.525	1
1358.168	1
1379.566	1
1399.205	1
2743.385	1
2762.052	1
2927.644	1
3151.156	1
3486.486	1
3635.3	1
3742.697	1
3761.269	1
3775.48	1
4075.014	1
4193.945	1
4262.742	1
4333.088	1
4694.651	1
4978.827	1
4991.937	1
NAN	NAN
430.6782	2
715.1539	2
1223.382	2
2277.264	2
2370.76	2
2624.639	2
2828.414	2
3262.161	2
3275.732	2
3281.939	2
3445.405	2
3480.92	2
3508.369	2
3610.606	2
3721.142	2
3925.637	2
4881.561	2
4925.509	2
NAN	NAN
501.988	3
1045.749	3
1520.702	3
1776.397	3
2668.494	3
2738.513	3
3881.08	3
4229.018	3
4407.922	3
4798.523	3
NAN	NAN
2481.393	4
2604.455	4
2780.076	4
3330.59	4
3465.687	4
3499.56	4
3601.629	4
4893.308	4
NAN	NAN
426.8184	5
760.5901	5
815.1971	5
1197.632	5
1301.193	5
1509.348	5
1848.182	5
1864.011	5
1900.519	5
3087.728	5
3711.18	5
3928.591	5
4451.85	5
4492.04	5
4695.488	5
4716.315	5
4737.202	5
4768.941	5
NAN	NAN
143.5878	6
807.5379	6
1601.217	6
1879.804	6
2584.795	6
2850.105	6
2928.219	6
2946.651	6
2999.568	6
3090.74	6
3203.031	6
3221.535	6
3317.001	6
3412.302	6
3644.219	6
3668.325	6
3707.535	6
4324.551	6
4599.962	6
NAN	NAN
278.51	7
288.2394	7
1101.931	7
1373.441	7
1491.344	7
2430.546	7
2701.711	7
2770.027	7
2981.077	7
3223.899	7
3863.85	7
4429.215	7
NAN	NAN
486.3122	8
990.243	8
1336.709	8
1356.173	8
1387.901	8
2326.555	8
2336.808	8
2399.651	8
3626.606	8
3930.098	8
4390.275	8
NAN	NAN
424.609	9
448.3946	9
1990.911	9
2422.459	9
2557.454	9
3974.233	9
3997.805	9
NAN	NAN
73.61086	10
1019.625	10
1861.48	10
3073.602	10
3251.493	10
3563.133	10
NAN	NAN
402.6173	11
796.8301	11
833.4092	11
1008.543	11
2115.876	11
2321.587	11
2494.878	11
2753.695	11
2782.78	11
3061.578	11
3130.835	11
3478.335	11
4330.21	11
NAN	NAN
1062.958	12
1522.199	12
1663.753	12
1701.458	12
1982.095	12
2001.335	12
2244.91	12
2384.58	12
2512.582	12
2542.935	12
2888.965	12
2932.045	12
3093.754	12
3341.062	12
4139.025	12
4156.912	12
4766.205	12
NAN	NAN
